bus_id,route_id,route_nm,route_ord,node_id,ars_id,node_nm,lngt,la
b023770,100100586,N26,35,113000476,14067,웨딩타운,126.951517,37.557092
b023771,100100450,7011,35,101000047,2146,남대문시장.회현역,126.9784645,37.55849203
b023772,100100267,5535,35,119000105,20198,7호선장승배기역.상도2치안센터,126.9393255,37.50434045
b023773,100100167,1157,35,109000126,10211,쌍문동성원아파트,127.028738,37.657845
b023774,100100110,710,35,108000010,9010,도봉세무서.성북시장,127.0292481,37.61883721
b023775,100100305,6628,35,118000080,19165,양남동로타리,126.8917786,37.52212031
b023776,100100064,406,35,101000290,2286,시청앞.덕수궁,126.9768356,37.56621228
b023777,124000033,N15A,35,101000040,2139,우리은행종로지점,126.9829289,37.567519
b023778,100100329,6657,35,115000117,16214,우장산역,126.8361293,37.54980277
b023779,115000008,N65,35,118000078,19163,당산동진로아파트,126.8969911,37.5210022
b023780,115000010,N64,35,118000078,19163,당산동진로아파트,126.8969911,37.5210022
b023781,100100078,503,35,118000064,19149,진주아파트,126.9323106,37.51924625
b023782,100100037,172,35,113000478,13044,아현역,126.956889,37.557396
b023783,100100075,472,35,112000392,13324,연세로.문학의거리,126.937003,37.55626
b023784,100100036,171,35,113000183,14274,월드컵경기장북측,126.898104,37.573967
b023785,100100318,6645,35,115000118,16215,명덕고등학교.서울스타병원,126.836523,37.553092
b023786,124000035,N13B,35,101000072,2171,광희동,127.00772,37.565171
b023787,100100551,673,35,115000043,16139,강서구청.한국건강관리협회,126.8505842,37.55262795
b023788,100100023,144,35,101000098,2202,장충체육관앞,127.0078282,37.55800173
b023789,100100153,1138,35,109000162,10248,국립현대미술관창동레지던시,127.0394443,37.63985019
b023790,100100285,5633,35,117000095,18181,현대시장.시흥4동주민센터,126.9051696,37.45924018
b023791,111000008,674,35,113000108,14199,성산2교,126.9126441,37.56569295
b023792,100100139,1124,35,108000119,9207,강북구청사거리,127.0283154,37.63882255
b023793,100100091,606,35,212000158,45604,서울농원,126.8163677,37.53630928
b023794,100100409,421,35,101000103,2207,퇴계로5가,126.999966,37.56238041
b023795,100100199,2222,35,103000021,4120,마장축산물시장,127.0375114,37.57025901
b023796,100100020,141,35,122000053,23154,압구정중고등학교.현대아파트,127.033683,37.529758
b023797,100100549,100,35,101000061,2160,을지로3가,126.990263,37.566375
